sample,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,cam_x,cam_y,cam_z,cam_rvec_x,cam_rvec_y,cam_rvec_z,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg
1,-0.541643,0.099408,0.746297,110.4002,113.9605,89.6061,-0.026807,0.020573,0.179700,-2.923759,0.629865,0.049171,-11,-5,-67,107,-2,9
2,-0.546109,0.070922,0.746292,110.4000,113.9598,92.6075,0.009972,0.005002,0.170620,-2.910684,0.625649,0.108318,-8,-5,-67,107,-2,9
3,-0.535698,0.127650,0.746291,110.3998,113.9599,86.6040,-0.063387,0.036616,0.186601,-2.931856,0.637019,-0.037873,-14,-5,-67,107,-2,9
4,-0.513062,0.093851,0.774381,113.6139,113.3741,90.8979,-0.004386,0.051845,0.215079,-2.972886,0.619509,0.051849,-11,-2,-67,107,-2,9
5,-0.568755,0.104690,0.716713,107.1579,114.4782,88.2756,-0.048767,-0.008341,0.142580,-2.864870,0.631086,0.037570,-11,-8,-67,107,-2,9
6,-0.541823,0.099321,0.745812,109.5409,109.2712,87.7429,-0.028335,0.018118,0.178416,-2.939478,0.517299,-0.001388,-11,-5,-67,102,-2,9
7,-0.541464,0.099564,0.746762,111.4676,118.6189,91.6256,-0.025220,0.022655,0.180964,-2.906394,0.751475,0.096920,-11,-5,-67,112,-2,9
8,-0.541648,0.099421,0.746291,109.3014,105.4896,86.3611,-0.028791,0.018304,0.178527,-2.944819,0.414287,-0.061253,-11,-5,-67,107,-2,-0
9,-0.541648,0.099421,0.746291,112.6517,124.1998,94.2187,-0.023524,0.022921,0.181206,-2.868784,0.884282,0.156720,-11,-5,-67,107,-2,20
10,-0.021564,-0.026843,0.854788,87.1761,87.0758,92.0322,0.152409,-0.218936,0.633749,-2.564938,-0.066578,-0.006224,-8,38,-50,10,-81,85
11,-0.020152,-0.027936,0.854787,87.1753,87.0750,95.0340,0.193771,-0.215472,0.632458,-2.597504,-0.093694,0.094573,-5,38,-50,10,-81,85
12,-0.023408,-0.025271,0.854787,87.1753,87.0751,88.0308,0.099235,-0.225644,0.640314,-2.562516,-0.034328,-0.057593,-12,38,-50,10,-81,85
13,-0.055281,-0.022108,0.852971,84.2172,87.6016,92.1708,0.148598,-0.237020,0.585344,-2.538483,-0.048461,-0.019250,-8,35,-50,10,-81,85
14,0.012156,-0.031585,0.854819,90.1362,86.5564,91.8675,0.156601,-0.200304,0.685634,-2.645008,-0.078344,0.040227,-8,41,-50,10,-81,85
15,-0.021426,-0.011981,0.854384,87.0368,86.0448,87.1485,0.073069,-0.228622,0.640287,-2.597421,-0.060466,-0.141139,-8,38,-50,5,-81,85
16,-0.020490,-0.041653,0.855456,87.4000,88.0900,96.9143,0.231748,-0.209151,0.623029,-2.592015,-0.093591,0.123665,-8,38,-50,15,-81,85
17,-0.021587,-0.026839,0.854787,87.0352,72.0923,92.7990,0.142464,-0.182759,0.657807,-2.564777,-0.403297,-0.080926,-8,38,-50,10,-81,70
18,-0.021587,-0.026843,0.854787,87.1153,102.0578,91.2847,0.152192,-0.257925,0.613153,-2.558087,0.274810,0.053347,-8,38,-50,10,-81,100
19,-0.444004,0.261214,0.699448,107.3488,94.5268,113.8402,-0.030520,-0.058571,0.296718,-2.840090,0.069839,0.659419,-48,-11,-67,-256,-68,11
20,-0.457061,0.237568,0.699483,107.3508,94.5241,116.8455,0.003152,-0.057344,0.274456,-2.817581,0.071989,0.713922,-45,-11,-67,-256,-68,11
21,-0.429711,0.284065,0.699481,107.3507,94.5241,110.8427,-0.065079,-0.058542,0.316219,-2.842023,0.068725,0.597546,-51,-11,-67,-256,-68,11
22,-0.426203,0.241402,0.724526,108.2861,91.6712,113.8958,0.001737,-0.031941,0.313513,-2.885780,0.018037,0.637464,-48,-8,-67,-256,-68,11
23,-0.460882,0.279937,0.673086,106.4081,97.3751,113.7459,-0.064269,-0.083972,0.281891,-2.810821,0.139287,0.634377,-48,-14,-67,-256,-68,11
24,-0.439175,0.261752,0.712585,112.0383,95.9880,115.3139,-0.020926,-0.019377,0.315700,-2.901544,0.139045,0.711544,-48,-11,-67,-251,-68,11
25,-0.447964,0.261431,0.686103,102.7108,92.9447,112.5008,-0.038820,-0.096705,0.275636,-2.778695,0.021984,0.584293,-48,-11,-67,-261,-68,11
26,-0.443993,0.261179,0.699483,107.3933,84.0220,110.5634,-0.030754,-0.061817,0.294595,-2.897488,-0.181766,0.566751,-48,-11,-67,-256,-68,-0
27,-0.443994,0.261179,0.699480,107.7727,103.1074,116.5894,-0.030036,-0.056294,0.298656,-2.774897,0.279016,0.706949,-48,-11,-67,-256,-68,20
28,-0.497642,-0.113743,0.715143,113.5740,103.9799,55.0413,0.004754,-0.016547,0.309354,-2.950820,0.379777,-0.909794,-330,-11,-67,-290,68,11
29,-0.491001,-0.139673,0.715140,113.5730,103.9807,58.0481,0.040345,-0.026889,0.326087,-2.967446,0.389628,-0.815576,-327,-11,-67,-290,68,11
30,-0.502916,-0.087558,0.715140,113.5730,103.9806,52.0450,-0.030158,-0.006215,0.291515,-2.925871,0.384678,-0.981456,-333,-11,-67,-290,68,11
31,-0.473899,-0.100071,0.739990,114.8994,106.6967,55.3982,-0.014326,0.020826,0.324739,2.959254,-0.444165,0.915305,-330,-8,-67,-290,68,11
32,-0.520216,-0.126802,0.688898,112.2780,101.2584,54.7631,0.025978,-0.052753,0.293625,-2.927702,0.318266,-0.892316,-330,-14,-67,-290,68,11
33,-0.502123,-0.111511,0.702137,108.9831,106.0484,54.8968,-0.003443,-0.055337,0.292133,-2.885463,0.460141,-0.865467,-330,-11,-67,-285,68,11
34,-0.492650,-0.117055,0.727752,118.1206,101.9093,55.0252,0.011141,0.023796,0.325127,2.945216,-0.289217,0.928028,-330,-11,-67,-295,68,11
35,-0.497643,-0.113769,0.715137,112.8885,93.8665,50.6594,-0.004483,-0.014129,0.311076,-2.868893,0.127452,-1.018757,-330,-11,-67,-290,68,-0
36,-0.497642,-0.113770,0.715140,114.7795,112.1954,58.9209,0.011801,-0.019454,0.307902,2.953733,-0.588574,0.806457,-330,-11,-67,-290,68,20
