j1= -19,  j2=-17,  j3= -61,  j4=113,  j5=  9,  j6=-25
j1= -34,  j2= 47,  j3=-102,  j4=  0,  j5=-20,  j6= 90
j1= -34,  j2= 55,  j3=-106,  j4= 34,  j5=-20,  j6= 18
j1= -45,  j2= 55,  j3=-111,  j4= 57,  j5=-20,  j6= 28
j1= -45,  j2= 18,  j3= -81,  j4= 61,  j5=-20,  j6= 28
j1= -15,  j2= 33,  j3=-111,  j4= 60,  j5= 13,  j6= 28
j1= -74,  j2= 33,  j3=-100,  j4=103,  j5=-51,  j6= 28
j1=-132,  j2= 13,  j3=-100,  j4=122,  j5=-119,  j6=-25
j1=-163,  j2=-46,  j3= 98,  j4=-57,  j5= 40,  j6=-25
j1=-181,  j2=-14,  j3= 85,  j4=-81,  j5= 40,  j6=-25
j1=-186,  j2= 11,  j3= 62,  j4=-81,  j5= 38,  j6=-25
j1= -36,  j2= 17,  j3= -95,  j4=101,  j5= -9,  j6= 15
j1= -36,  j2= 81,  j3=-139,  j4=250,  j5= 13,  j6=-158
j1= -72,  j2= 81,  j3=-121,  j4=250,  j5= 52,  j6=-133
j1= -52,  j2= 57,  j3=-105,  j4=238,  j5= 33,  j6=-133
j1= 155,  j2=  5,  j3=  50,  j4=360,  j5= 52,  j6= -94
