# ── Group 1: 중거리 (기준: -11 -5 -67 107 -2 9) ─────────────────
j1= -11,  j2=  -5,  j3= -67,  j4= 107,  j5=  -2,  j6=   9  # base (37.3mm)
j1=  -8,  j2=  -5,  j3= -67,  j4= 107,  j5=  -2,  j6=   9  # (24.7mm)
j1= -13,  j2=  -5,  j3= -67,  j4= 107,  j5=  -2,  j6=   9  # j1: -14→-13 (was 57.0mm)
j1= -11,  j2=  -2,  j3= -67,  j4= 107,  j5=  -2,  j6=   9  # (21.6mm)
j1= -11,  j2=  -7,  j3= -67,  j4= 107,  j5=  -2,  j6=   9  # j2: -8→-7 (was 58.4mm)
j1= -11,  j2=  -5,  j3= -67,  j4= 102,  j5=  -2,  j6=   9  # (51.3mm)
j1= -11,  j2=  -5,  j3= -67,  j4= 112,  j5=  -2,  j6=   9  # (33.5mm)
j1= -11,  j2=  -5,  j3= -67,  j4= 107,  j5=  -2,  j6=   4  # j6: 0→4 (was 64.6mm)
j1= -11,  j2=  -5,  j3= -67,  j4= 107,  j5=  -2,  j6=  20  # (45.8mm)

# ── Group 3: 오른쪽 측면에서 바라보기 (기준: -48 -11 -67 -256 -68 11) ──
j1= -48,  j2= -11,  j3= -67,  j4=-256,  j5= -68,  j6=  11  # base (62.2mm)
j1= -46,  j2= -11,  j3= -67,  j4=-256,  j5= -68,  j6=  11  # j1: -45→-46 (was 77.0mm)
j1= -51,  j2= -11,  j3= -67,  j4=-256,  j5= -68,  j6=  11  # (51.7mm)
j1= -48,  j2=  -8,  j3= -67,  j4=-256,  j5= -68,  j6=  11  # (70.2mm)
j1= -48,  j2= -13,  j3= -67,  j4=-256,  j5= -68,  j6=  11  # j2: -14→-13 (was 57.8mm)
j1= -48,  j2= -11,  j3= -67,  j4=-251,  j5= -68,  j6=  11  # (49.9mm)
j1= -48,  j2= -11,  j3= -67,  j4=-259,  j5= -68,  j6=  11  # j4: -261→-259 (was 82.9mm)
j1= -48,  j2= -11,  j3= -67,  j4=-256,  j5= -68,  j6=   5  # j6: 0→5 (was 108.7mm)
j1= -48,  j2= -11,  j3= -67,  j4=-256,  j5= -68,  j6=  20  # (25.8mm)

# ── Group 4: 왼쪽 측면에서 바라보기 (기준: -330 -11 -67 -290 68 11) ──
j1=-330,  j2= -11,  j3= -67,  j4=-290,  j5=  68,  j6=  11  # base (27.9mm)
j1=-327,  j2= -11,  j3= -67,  j4=-290,  j5=  68,  j6=  11  # (24.8mm)
j1=-333,  j2= -11,  j3= -67,  j4=-290,  j5=  68,  j6=  11  # (42.6mm)
j1=-330,  j2=  -8,  j3= -67,  j4=-290,  j5=  68,  j6=  11  # (48.8mm)
j1=-330,  j2= -14,  j3= -67,  j4=-290,  j5=  68,  j6=  11  # (16.7mm) ← best
j1=-330,  j2= -11,  j3= -67,  j4=-285,  j5=  68,  j6=  11  # (39.1mm)
j1=-330,  j2= -11,  j3= -67,  j4=-295,  j5=  68,  j6=  11  # (18.0mm)
j1=-330,  j2= -11,  j3= -67,  j4=-290,  j5=  68,  j6=   4  # j6: 0→4 (was 44.0mm)
j1=-330,  j2= -11,  j3= -67,  j4=-290,  j5=  68,  j6=  18  # j6: 20→18 (was 55.6mm)

# ── Group 2: 뒤에서 바라보기 (기준: -8 38 -50 10 -81 85) ──────────
j1=  -8,  j2=  38,  j3= -50,  j4=  10,  j5= -81,  j6=  85  # base (71.4mm)
j1=  -6,  j2=  38,  j3= -50,  j4=  10,  j5= -81,  j6=  85  # j1: -5→-6 (was 80.2mm)
j1= -12,  j2=  38,  j3= -50,  j4=  10,  j5= -81,  j6=  85  # (61.4mm)
j1=  -8,  j2=  35,  j3= -50,  j4=  10,  j5= -81,  j6=  85  # (50.7mm)
j1=  -8,  j2=  40,  j3= -50,  j4=  10,  j5= -81,  j6=  85  # j2: 41→40 (was 100.2mm)
j1=  -8,  j2=  38,  j3= -50,  j4=   5,  j5= -81,  j6=  85  # (56.7mm)
j1=  -8,  j2=  38,  j3= -50,  j4=  13,  j5= -81,  j6=  85  # j4: 15→13 (was 87.9mm)
j1=  -8,  j2=  38,  j3= -50,  j4=  10,  j5= -81,  j6=  73  # j6: 70→73 (was 80.9mm)
j1=  -8,  j2=  38,  j3= -50,  j4=  10,  j5= -81,  j6=  92  # j6: 100→92 (was 138.1mm)
