sample,tcp_x,tcp_y,tcp_z,cam_x,cam_y,cam_z
1,0.127724,-0.627781,0.604304,-0.354850,-0.273933,1.161776
2,0.059880,-0.294320,0.874820,-0.434428,0.176514,1.347201
3,0.095245,-0.464410,0.844178,-0.610063,-0.201366,1.295852
4,0.134617,-0.656383,0.687435,-0.446692,-0.491411,1.094333
5,0.107754,-0.526821,0.046995,0.522280,-0.440595,0.799419
6,0.084698,-0.414083,0.013940,0.597840,-0.278344,0.811048
7,-0.236460,-0.350156,0.013922,0.360993,-0.143617,0.578996
8,-0.292311,-0.292720,0.033431,0.131465,-0.240629,0.655290
9,-0.464874,0.004869,0.291043,-0.009145,-0.219375,1.024076
10,-0.350971,-0.220168,0.303810,0.025683,-0.158334,0.927418
11,-0.350975,-0.220166,0.303806,0.115780,-0.303802,0.859528
12,-0.402042,0.148879,0.426902,0.193682,-0.433171,1.075635
13,-0.412223,-0.010723,-0.143533,-0.170764,-0.058100,0.752502
14,-0.412225,-0.010722,-0.143529,-0.170764,-0.058100,0.752502
15,-0.423457,-0.041231,-0.381750,-0.241284,-0.000025,0.493430
16,-0.422765,-0.041154,-0.381874,-0.084772,-0.211609,0.396336
17,-0.415812,-0.040478,-0.386695,0.129846,-0.089596,0.311405
18,-0.218413,0.283632,-0.433419,-0.479164,-0.210787,0.866863
19,-0.333826,0.433319,-0.361971,-0.325482,-0.414196,0.845663
20,-0.026331,0.546476,-0.361867,-0.303457,-0.492600,1.126208
21,-0.034858,0.717677,0.028147,0.178983,-0.487455,0.900134
22,-0.024194,0.499927,0.338250,0.442270,-0.095092,0.894346
23,-0.350121,0.354292,0.340583,0.482855,-0.146362,1.085190
24,-0.091230,0.117657,0.604210,0.557490,0.228386,1.184432
25,-0.027589,0.045092,0.927080,0.945249,0.275360,1.247145
26,-0.009311,0.034179,0.912365,0.761872,0.278179,1.042387
27,-0.083712,0.307694,-0.501715,-0.329902,-0.219168,1.174512
28,-0.083749,0.307633,-0.501749,-0.673529,-0.137035,1.217298
29,-0.139732,0.513236,-0.367376,-0.591191,-0.346076,1.131707
30,-0.160065,0.587919,-0.250915,-0.428054,-0.458801,1.003674
