sample,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,cam_x,cam_y,cam_z,cam_rvec_x,cam_rvec_y,cam_rvec_z,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg
1,0.437424,-0.077131,0.612705,-0.0000,0.0000,0.0000,-0.047902,-0.023077,0.236874,2.299366,0.025093,-0.283881,-10,-5,90,10,-0,90
2,0.417387,0.151916,0.612706,-0.0000,0.0000,0.0000,0.085919,-0.027330,0.245682,2.299473,-0.327006,0.275560,20,-5,90,0,0,90
3,0.429039,-0.114961,0.612706,-0.0000,0.0000,0.0000,-0.069807,-0.025660,0.242663,2.278875,0.108625,-0.346111,-15,-5,90,10,0,90
4,0.396025,0.106112,0.650006,-0.0000,0.0000,0.0000,0.067970,0.005302,0.232951,2.406724,-0.305280,0.139795,15,0,90,5,0,90
5,0.360005,0.096463,0.684175,-0.0000,0.0000,0.0000,0.073939,0.046245,0.234216,2.640702,-0.308620,0.179695,15,5,90,5,8,90
6,0.437427,-0.077130,0.612705,-0.0000,0.0000,0.0000,-0.050518,-0.022830,0.239999,2.289751,-0.049781,-0.366850,-10,-5,90,15,0,90
7,0.396030,-0.106115,0.650000,-0.0000,0.0000,0.0000,-0.074139,0.003610,0.234321,2.370058,0.120401,-0.406413,-15,-0,90,10,0,90
8,0.408440,-0.035735,0.650000,-0.0000,0.0000,0.0000,-0.023914,0.008057,0.227383,2.437344,0.114972,-0.088238,-5,-0,90,0,0,90
9,0.429039,-0.114960,0.612706,-0.0000,0.0000,0.0000,-0.064314,-0.025469,0.238340,2.299162,0.272216,-0.206002,-15,-5,90,-0,0,90
10,0.380857,0.067155,0.734993,-0.0000,0.0000,0.0000,0.053720,0.071584,0.216799,2.873629,-0.144620,0.175376,10,12,80,-0,25,90
